"Id";"Fulldate";"totalsleephrs"
1503960366.0;"2016-04-12";5.45
1503960366.0;"2016-04-13";6.4
1503960366.0;"2016-04-15";6.87
1503960366.0;"2016-04-16";5.67
1503960366.0;"2016-04-17";11.67
1503960366.0;"2016-04-19";5.07
1503960366.0;"2016-04-20";6.0
1503960366.0;"2016-04-21";5.42
1503960366.0;"2016-04-23";6.02
1503960366.0;"2016-04-24";7.17
1503960366.0;"2016-04-25";4.62
1503960366.0;"2016-04-26";4.08
1503960366.0;"2016-04-28";6.1
1503960366.0;"2016-04-29";5.68
1503960366.0;"2016-04-30";6.73
1503960366.0;"2016-05-01";6.15
1503960366.0;"2016-05-02";4.62
1503960366.0;"2016-05-03";4.55
1503960366.0;"2016-05-05";4.12
1503960366.0;"2016-05-06";5.57
1503960366.0;"2016-05-07";5.52
1503960366.0;"2016-05-08";9.9
1503960366.0;"2016-05-09";5.63
1503960366.0;"2016-05-10";6.38
1503960366.0;"2016-05-11";4.75
1644430081.0;"2016-04-29";1.98
1644430081.0;"2016-04-30";2.07
1644430081.0;"2016-05-02";13.27
1644430081.0;"2016-05-08";2.28
1844505072.0;"2016-04-15";10.73
1844505072.0;"2016-04-30";12.03
1844505072.0;"2016-05-01";9.83
1927972279.0;"2016-04-12";12.5
1927972279.0;"2016-04-13";6.63
1927972279.0;"2016-04-15";7.92
1927972279.0;"2016-04-26";4.93
1927972279.0;"2016-04-28";2.77
2026352035.0;"2016-04-12";8.38
2026352035.0;"2016-04-13";8.85
2026352035.0;"2016-04-14";9.08
2026352035.0;"2016-04-15";8.72
2026352035.0;"2016-04-16";8.73
2026352035.0;"2016-04-17";7.28
2026352035.0;"2016-04-19";8.3
2026352035.0;"2016-04-20";7.68
2026352035.0;"2016-04-21";7.95
2026352035.0;"2016-04-22";8.67
2026352035.0;"2016-04-23";8.7
2026352035.0;"2016-04-24";9.25
2026352035.0;"2016-04-25";8.43
2026352035.0;"2016-04-27";8.47
2026352035.0;"2016-04-28";8.55
